date;rate
01/08/2022;0.942
01/09/2022;1.851
01/10/2022;2.5
01/11/2022;2.686
01/12/2022;2.842
01/01/2023;3.316
01/02/2023;3.414
01/03/2023;3.745
01/04/2023;3.651
01/05/2023;3.875
01/06/2023;4.145
01/07/2023;4.076
01/08/2023;4.055
01/09/2023;4.198
01/10/2023;4.04
;
